Region,Code,DevelopmentLevel,YesNo
Japan,392,More Developed Regions,Y
Australia,36,More Developed Regions,Y
New Zealand,554,More Developed Regions,Y
Belarus,112,More Developed Regions,Y
Bulgaria,100,More Developed Regions,Y
Czechia,203,More Developed Regions,Y
Hungary,348,More Developed Regions,Y
Poland,616,More Developed Regions,Y
Republic of Moldova,498,More Developed Regions,Y
Romania,642,More Developed Regions,Y
Russian Federation,643,More Developed Regions,Y
Slovakia,703,More Developed Regions,Y
Ukraine,804,More Developed Regions,Y
Channel Islands,830,More Developed Regions,Y
Denmark,208,More Developed Regions,Y
Estonia,233,More Developed Regions,Y
Faroe Islands,234,More Developed Regions,Y
Finland,246,More Developed Regions,Y
Iceland,352,More Developed Regions,Y
Ireland,372,More Developed Regions,Y
Isle of Man,833,More Developed Regions,Y
Latvia,428,More Developed Regions,Y
Lithuania,440,More Developed Regions,Y
Norway,578,More Developed Regions,Y
Sweden,752,More Developed Regions,Y
United Kingdom,826,More Developed Regions,Y
Albania,8,More Developed Regions,Y
Andorra,20,More Developed Regions,Y
Bosnia and Herzegovina,70,More Developed Regions,Y
Croatia,191,More Developed Regions,Y
Gibraltar,292,More Developed Regions,Y
Greece,300,More Developed Regions,Y
Holy See,336,More Developed Regions,Y
Italy,380,More Developed Regions,Y
Malta,470,More Developed Regions,Y
Montenegro,499,More Developed Regions,Y
North Macedonia,807,More Developed Regions,Y
Portugal,620,More Developed Regions,Y
San Marino,674,More Developed Regions,Y
Serbia,688,More Developed Regions,Y
Slovenia,705,More Developed Regions,Y
Spain,724,More Developed Regions,Y
Austria,40,More Developed Regions,Y
Belgium,56,More Developed Regions,Y
France,250,More Developed Regions,Y
Germany,276,More Developed Regions,Y
Liechtenstein,438,More Developed Regions,Y
Luxembourg,442,More Developed Regions,Y
Monaco,492,More Developed Regions,Y
Netherlands,528,More Developed Regions,Y
Switzerland,756,More Developed Regions,Y
Bermuda,60,More Developed Regions,Y
Canada,124,More Developed Regions,Y
Greenland,304,More Developed Regions,Y
Saint Pierre and Miquelon,666,More Developed Regions,Y
United States of America,840,More Developed Regions,Y
Kenya,404,Less Developed Regions,Y
Mauritius,480,Less Developed Regions,Y
Mayotte,175,Less Developed Regions,Y
Réunion,638,Less Developed Regions,Y
Seychelles,690,Less Developed Regions,Y
Zimbabwe,716,Less Developed Regions,Y
Cameroon,120,Less Developed Regions,Y
Congo,178,Less Developed Regions,Y
Equatorial Guinea,226,Less Developed Regions,Y
Gabon,266,Less Developed Regions,Y
Botswana,72,Less Developed Regions,Y
Eswatini,748,Less Developed Regions,Y
Namibia,516,Less Developed Regions,Y
South Africa,710,Less Developed Regions,Y
Cabo Verde,132,Less Developed Regions,Y
Côte d'Ivoire,384,Less Developed Regions,Y
Ghana,288,Less Developed Regions,Y
Nigeria,566,Less Developed Regions,Y
Saint Helena,654,Less Developed Regions,Y
Algeria,12,Less Developed Regions,Y
Egypt,818,Less Developed Regions,Y
Libya,434,Less Developed Regions,Y
Morocco,504,Less Developed Regions,Y
Tunisia,788,Less Developed Regions,Y
Western Sahara,732,Less Developed Regions,Y
Armenia,51,Less Developed Regions,Y
Azerbaijan,31,Less Developed Regions,Y
Bahrain,48,Less Developed Regions,Y
Cyprus,196,Less Developed Regions,Y
Georgia,268,Less Developed Regions,Y
Iraq,368,Less Developed Regions,Y
Israel,376,Less Developed Regions,Y
Jordan,400,Less Developed Regions,Y
Kuwait,414,Less Developed Regions,Y
Lebanon,422,Less Developed Regions,Y
Oman,512,Less Developed Regions,Y
Qatar,634,Less Developed Regions,Y
Saudi Arabia,682,Less Developed Regions,Y
State of Palestine,275,Less Developed Regions,Y
Syrian Arab Republic,760,Less Developed Regions,Y
Turkey,792,Less Developed Regions,Y
United Arab Emirates,784,Less Developed Regions,Y
Kazakhstan,398,Less Developed Regions,Y
Kyrgyzstan,417,Less Developed Regions,Y
Tajikistan,762,Less Developed Regions,Y
Turkmenistan,795,Less Developed Regions,Y
Uzbekistan,860,Less Developed Regions,Y
India,356,Less Developed Regions,Y
Islamic Republic of Iran,364,Less Developed Regions,Y
Maldives,462,Less Developed Regions,Y
Pakistan,586,Less Developed Regions,Y
Sri Lanka,144,Less Developed Regions,Y
China,156,Less Developed Regions,Y
China, Hong Kong SAR,344,Less Developed Regions,Y
China, Macao SAR,446,Less Developed Regions,Y
Democratic People's Republic of Korea,408,Less Developed Regions,Y
Mongolia,496,Less Developed Regions,Y
Republic of Korea,410,Less Developed Regions,Y
Brunei Darussalam,96,Less Developed Regions,Y
Indonesia,360,Less Developed Regions,Y
Malaysia,458,Less Developed Regions,Y
Philippines,608,Less Developed Regions,Y
Singapore,702,Less Developed Regions,Y
Thailand,764,Less Developed Regions,Y
Viet Nam,704,Less Developed Regions,Y
Anguilla,660,Less Developed Regions,Y
Antigua and Barbuda,28,Less Developed Regions,Y
Aruba,533,Less Developed Regions,Y
Bahamas,44,Less Developed Regions,Y
Barbados,52,Less Developed Regions,Y
British Virgin Islands,92,Less Developed Regions,Y
Bonaire, Sint Eustatius and Saba,535,Less Developed Regions,Y
Cayman Islands,136,Less Developed Regions,Y
Cuba,192,Less Developed Regions,Y
Curaçao,531,Less Developed Regions,Y
Dominica,212,Less Developed Regions,Y
Dominican Republic,214,Less Developed Regions,Y
Grenada,308,Less Developed Regions,Y
Guadeloupe,312,Less Developed Regions,Y
Jamaica,388,Less Developed Regions,Y
Martinique,474,Less Developed Regions,Y
Montserrat,500,Less Developed Regions,Y
Puerto Rico,630,Less Developed Regions,Y
Saint Kitts and Nevis,659,Less Developed Regions,Y
Saint Lucia,662,Less Developed Regions,Y
Saint Vincent and the Grenadines,670,Less Developed Regions,Y
Sint Maarten (Dutch part),534,Less Developed Regions,Y
Trinidad and Tobago,780,Less Developed Regions,Y
Turks and Caicos Islands,796,Less Developed Regions,Y
United States Virgin Islands,850,Less Developed Regions,Y
Belize,84,Less Developed Regions,Y
Costa Rica,188,Less Developed Regions,Y
El Salvador,222,Less Developed Regions,Y
Guatemala,320,Less Developed Regions,Y
Honduras,340,Less Developed Regions,Y
Mexico,484,Less Developed Regions,Y
Nicaragua,558,Less Developed Regions,Y
Panama,591,Less Developed Regions,Y
Argentina,32,Less Developed Regions,Y
Plurinational State of Bolivia,68,Less Developed Regions,Y
Brazil,76,Less Developed Regions,Y
Chile,152,Less Developed Regions,Y
Colombia,170,Less Developed Regions,Y
Ecuador,218,Less Developed Regions,Y
Falkland Islands (Malvinas),238,Less Developed Regions,Y
French Guiana,254,Less Developed Regions,Y
Guyana,328,Less Developed Regions,Y
Paraguay,600,Less Developed Regions,Y
Peru,604,Less Developed Regions,Y
Suriname,740,Less Developed Regions,Y
Uruguay,858,Less Developed Regions,Y
Bolivarian Republic of Venezuela,862,Less Developed Regions,Y
Fiji,242,Less Developed Regions,Y
New Caledonia,540,Less Developed Regions,Y
Papua New Guinea,598,Less Developed Regions,Y
Guam,316,Less Developed Regions,Y
Marshall Islands,584,Less Developed Regions,Y
Micronesia (Fed. States of),583,Less Developed Regions,Y
Nauru,520,Less Developed Regions,Y
Northern Mariana Islands,580,Less Developed Regions,Y
Palau,585,Less Developed Regions,Y
American Samoa,16,Less Developed Regions,Y
Cook Islands,184,Less Developed Regions,Y
French Polynesia,258,Less Developed Regions,Y
Niue,570,Less Developed Regions,Y
Samoa,882,Less Developed Regions,Y
Tokelau,772,Less Developed Regions,Y
Tonga,776,Less Developed Regions,Y
Wallis and Futuna Islands,876,Less Developed Regions,Y
Burundi,108,Least Developed countries,Y
Comoros,174,Least Developed countries,Y
Djibouti,262,Least Developed countries,Y
Eritrea,232,Least Developed countries,Y
Ethiopia,231,Least Developed countries,Y
Madagascar,450,Least Developed countries,Y
Malawi,454,Least Developed countries,Y
Mozambique,508,Least Developed countries,Y
Rwanda,646,Least Developed countries,Y
Somalia,706,Least Developed countries,Y
South Sudan,728,Least Developed countries,Y
Uganda,800,Least Developed countries,Y
United Republic of Tanzania,834,Least Developed countries,Y
Zambia,894,Least Developed countries,Y
Angola,24,Least Developed countries,Y
Central African Republic,140,Least Developed countries,Y
Chad,148,Least Developed countries,Y
The Democratic Republic of the Congo,180,Least Developed countries,Y
Sao Tome and Principe,678,Least Developed countries,Y
Lesotho,426,Least Developed countries,Y
Benin,204,Least Developed countries,Y
Burkina Faso,854,Least Developed countries,Y
Gambia,270,Least Developed countries,Y
Guinea,324,Least Developed countries,Y
Guinea-Bissau,624,Least Developed countries,Y
Liberia,430,Least Developed countries,Y
Mali,466,Least Developed countries,Y
Mauritania,478,Least Developed countries,Y
Niger,562,Least Developed countries,Y
Senegal,686,Least Developed countries,Y
Sierra Leone,694,Least Developed countries,Y
Togo,768,Least Developed countries,Y
Sudan,729,Least Developed countries,Y
Yemen,887,Least Developed countries,Y
Afghanistan,4,Least Developed countries,Y
Bangladesh,50,Least Developed countries,Y
Bhutan,64,Least Developed countries,Y
Nepal,524,Least Developed countries,Y
Cambodia,116,Least Developed countries,Y
Lao People's Democratic Republic,418,Least Developed countries,Y
Myanmar,104,Least Developed countries,Y
Timor-Leste,626,Least Developed countries,Y
Haiti,332,Least Developed countries,Y
Solomon Islands,90,Least Developed countries,Y
Vanuatu,548,Least Developed countries,Y
Kiribati,296,Least Developed countries,Y
Tuvalu,798,Least Developed countries,Y
Seychelles,690,High-income Countries,Y
Bahrain,48,High-income Countries,Y
Cyprus,196,High-income Countries,Y
Israel,376,High-income Countries,Y
Kuwait,414,High-income Countries,Y
Oman,512,High-income Countries,Y
Qatar,634,High-income Countries,Y
Saudi Arabia,682,High-income Countries,Y
United Arab Emirates,784,High-income Countries,Y
China, Hong Kong SAR,344,High-income Countries,Y
China, Macao SAR,446,High-income Countries,Y
Japan,392,High-income Countries,Y
Republic of Korea,410,High-income Countries,Y
Brunei Darussalam,96,High-income Countries,Y
Singapore,702,High-income Countries,Y
Antigua and Barbuda,28,High-income Countries,Y
Aruba,533,High-income Countries,Y
Bahamas,44,High-income Countries,Y
Barbados,52,High-income Countries,Y
British Virgin Islands,92,High-income Countries,Y
Cayman Islands,136,High-income Countries,Y
Curaçao,531,High-income Countries,Y
Puerto Rico,630,High-income Countries,Y
Saint Kitts and Nevis,659,High-income Countries,Y
Sint Maarten (Dutch part),534,High-income Countries,Y
Trinidad and Tobago,780,High-income Countries,Y
Turks and Caicos Islands,796,High-income Countries,Y
United States Virgin Islands,850,High-income Countries,Y
Panama,591,High-income Countries,Y
Argentina,32,High-income Countries,Y
Chile,152,High-income Countries,Y
Uruguay,858,High-income Countries,Y
Australia,36,High-income Countries,Y
New Zealand,554,High-income Countries,Y
New Caledonia,540,High-income Countries,Y
Guam,316,High-income Countries,Y
Northern Mariana Islands,580,High-income Countries,Y
Palau,585,High-income Countries,Y
French Polynesia,258,High-income Countries,Y
Czechia,203,High-income Countries,Y
Hungary,348,High-income Countries,Y
Poland,616,High-income Countries,Y
Slovakia,703,High-income Countries,Y
Channel Islands,830,High-income Countries,Y
Denmark,208,High-income Countries,Y
Estonia,233,High-income Countries,Y
Faroe Islands,234,High-income Countries,Y
Finland,246,High-income Countries,Y
Iceland,352,High-income Countries,Y
Ireland,372,High-income Countries,Y
Isle of Man,833,High-income Countries,Y
Latvia,428,High-income Countries,Y
Lithuania,440,High-income Countries,Y
Norway,578,High-income Countries,Y
Sweden,752,High-income Countries,Y
United Kingdom,826,High-income Countries,Y
Andorra,20,High-income Countries,Y
Croatia,191,High-income Countries,Y
Gibraltar,292,High-income Countries,Y
Greece,300,High-income Countries,Y
Italy,380,High-income Countries,Y
Malta,470,High-income Countries,Y
Portugal,620,High-income Countries,Y
San Marino,674,High-income Countries,Y
Slovenia,705,High-income Countries,Y
Spain,724,High-income Countries,Y
Austria,40,High-income Countries,Y
Belgium,56,High-income Countries,Y
France,250,High-income Countries,Y
Germany,276,High-income Countries,Y
Liechtenstein,438,High-income Countries,Y
Luxembourg,442,High-income Countries,Y
Monaco,492,High-income Countries,Y
Netherlands,528,High-income Countries,Y
Switzerland,756,High-income Countries,Y
Bermuda,60,High-income Countries,Y
Canada,124,High-income Countries,Y
Greenland,304,High-income Countries,Y
United States of America,840,High-income Countries,Y
Mauritius,480,Upper-middle-income Countries,Y
Equatorial Guinea,226,Upper-middle-income Countries,Y
Gabon,266,Upper-middle-income Countries,Y
Botswana,72,Upper-middle-income Countries,Y
Namibia,516,Upper-middle-income Countries,Y
South Africa,710,Upper-middle-income Countries,Y
Algeria,12,Upper-middle-income Countries,Y
Libya,434,Upper-middle-income Countries,Y
Armenia,51,Upper-middle-income Countries,Y
Azerbaijan,31,Upper-middle-income Countries,Y
Iraq,368,Upper-middle-income Countries,Y
Jordan,400,Upper-middle-income Countries,Y
Lebanon,422,Upper-middle-income Countries,Y
Turkey,792,Upper-middle-income Countries,Y
Kazakhstan,398,Upper-middle-income Countries,Y
Turkmenistan,795,Upper-middle-income Countries,Y
Islamic Republic of Iran,364,Upper-middle-income Countries,Y
Maldives,462,Upper-middle-income Countries,Y
China,156,Upper-middle-income Countries,Y
Malaysia,458,Upper-middle-income Countries,Y
Thailand,764,Upper-middle-income Countries,Y
Cuba,192,Upper-middle-income Countries,Y
Dominica,212,Upper-middle-income Countries,Y
Dominican Republic,214,Upper-middle-income Countries,Y
Grenada,308,Upper-middle-income Countries,Y
Jamaica,388,Upper-middle-income Countries,Y
Saint Lucia,662,Upper-middle-income Countries,Y
Saint Vincent and the Grenadines,670,Upper-middle-income Countries,Y
Belize,84,Upper-middle-income Countries,Y
Costa Rica,188,Upper-middle-income Countries,Y
Guatemala,320,Upper-middle-income Countries,Y
Mexico,484,Upper-middle-income Countries,Y
Brazil,76,Upper-middle-income Countries,Y
Colombia,170,Upper-middle-income Countries,Y
Ecuador,218,Upper-middle-income Countries,Y
Guyana,328,Upper-middle-income Countries,Y
Paraguay,600,Upper-middle-income Countries,Y
Peru,604,Upper-middle-income Countries,Y
Suriname,740,Upper-middle-income Countries,Y
Bolivarian Republic of Venezuela,862,Upper-middle-income Countries,Y
Fiji,242,Upper-middle-income Countries,Y
Marshall Islands,584,Upper-middle-income Countries,Y
Nauru,520,Upper-middle-income Countries,Y
American Samoa,16,Upper-middle-income Countries,Y
Samoa,882,Upper-middle-income Countries,Y
Tonga,776,Upper-middle-income Countries,Y
Tuvalu,798,Upper-middle-income Countries,Y
Belarus,112,Upper-middle-income Countries,Y
Bulgaria,100,Upper-middle-income Countries,Y
Romania,642,Upper-middle-income Countries,Y
Russian Federation,643,Upper-middle-income Countries,Y
Albania,8,Upper-middle-income Countries,Y
Bosnia and Herzegovina,70,Upper-middle-income Countries,Y
Montenegro,499,Upper-middle-income Countries,Y
North Macedonia,807,Upper-middle-income Countries,Y
Serbia,688,Upper-middle-income Countries,Y
Djibouti,262,Lower-middle-income Countries,Y
Kenya,404,Lower-middle-income Countries,Y
Zambia,894,Lower-middle-income Countries,Y
Angola,24,Lower-middle-income Countries,Y
Cameroon,120,Lower-middle-income Countries,Y
Congo,178,Lower-middle-income Countries,Y
Sao Tome and Principe,678,Lower-middle-income Countries,Y
Eswatini,748,Lower-middle-income Countries,Y
Lesotho,426,Lower-middle-income Countries,Y
Cabo Verde,132,Lower-middle-income Countries,Y
Côte d'Ivoire,384,Lower-middle-income Countries,Y
Ghana,288,Lower-middle-income Countries,Y
Mauritania,478,Lower-middle-income Countries,Y
Nigeria,566,Lower-middle-income Countries,Y
Egypt,818,Lower-middle-income Countries,Y
Morocco,504,Lower-middle-income Countries,Y
Sudan,729,Lower-middle-income Countries,Y
Tunisia,788,Lower-middle-income Countries,Y
Georgia,268,Lower-middle-income Countries,Y
State of Palestine,275,Lower-middle-income Countries,Y
Kyrgyzstan,417,Lower-middle-income Countries,Y
Uzbekistan,860,Lower-middle-income Countries,Y
Bangladesh,50,Lower-middle-income Countries,Y
Bhutan,64,Lower-middle-income Countries,Y
India,356,Lower-middle-income Countries,Y
Pakistan,586,Lower-middle-income Countries,Y
Sri Lanka,144,Lower-middle-income Countries,Y
Mongolia,496,Lower-middle-income Countries,Y
Cambodia,116,Lower-middle-income Countries,Y
Indonesia,360,Lower-middle-income Countries,Y
Lao People's Democratic Republic,418,Lower-middle-income Countries,Y
Myanmar,104,Lower-middle-income Countries,Y
Philippines,608,Lower-middle-income Countries,Y
Timor-Leste,626,Lower-middle-income Countries,Y
Viet Nam,704,Lower-middle-income Countries,Y
El Salvador,222,Lower-middle-income Countries,Y
Honduras,340,Lower-middle-income Countries,Y
Nicaragua,558,Lower-middle-income Countries,Y
Plurinational State of Bolivia,68,Lower-middle-income Countries,Y
Papua New Guinea,598,Lower-middle-income Countries,Y
Solomon Islands,90,Lower-middle-income Countries,Y
Vanuatu,548,Lower-middle-income Countries,Y
Kiribati,296,Lower-middle-income Countries,Y
Micronesia (Fed. States of),583,Lower-middle-income Countries,Y
Republic of Moldova,498,Lower-middle-income Countries,Y
Ukraine,804,Lower-middle-income Countries,Y
Burundi,108,Low-income Countries,Y
Comoros,174,Low-income Countries,Y
Eritrea,232,Low-income Countries,Y
Ethiopia,231,Low-income Countries,Y
Madagascar,450,Low-income Countries,Y
Malawi,454,Low-income Countries,Y
Mozambique,508,Low-income Countries,Y
Rwanda,646,Low-income Countries,Y
Somalia,706,Low-income Countries,Y
South Sudan,728,Low-income Countries,Y
Uganda,800,Low-income Countries,Y
United Republic of Tanzania,834,Low-income Countries,Y
Zimbabwe,716,Low-income Countries,Y
Central African Republic,140,Low-income Countries,Y
Chad,148,Low-income Countries,Y
The Democratic Republic of the Congo,180,Low-income Countries,Y
Benin,204,Low-income Countries,Y
Burkina Faso,854,Low-income Countries,Y
Gambia,270,Low-income Countries,Y
Guinea,324,Low-income Countries,Y
Guinea-Bissau,624,Low-income Countries,Y
Liberia,430,Low-income Countries,Y
Mali,466,Low-income Countries,Y
Niger,562,Low-income Countries,Y
Senegal,686,Low-income Countries,Y
Sierra Leone,694,Low-income Countries,Y
Togo,768,Low-income Countries,Y
Syrian Arab Republic,760,Low-income Countries,Y
Yemen,887,Low-income Countries,Y
Tajikistan,762,Low-income Countries,Y
Afghanistan,4,Low-income Countries,Y
Nepal,524,Low-income Countries,Y
Democratic People's Republic of Korea,408,Low-income Countries,Y
Haiti,332,Low-income Countries,Y
Mayotte,175,No income group available,Y
Réunion,638,No income group available,Y
Saint Helena,654,No income group available,Y
Western Sahara,732,No income group available,Y
Anguilla,660,No income group available,Y
Bonaire, Sint Eustatius and Saba,535,No income group available,Y
Guadeloupe,312,No income group available,Y
Martinique,474,No income group available,Y
Montserrat,500,No income group available,Y
Falkland Islands (Malvinas),238,No income group available,Y
French Guiana,254,No income group available,Y
Cook Islands,184,No income group available,Y
Niue,570,No income group available,Y
Tokelau,772,No income group available,Y
Wallis and Futuna Islands,876,No income group available,Y
Holy See,336,No income group available,Y
Saint Pierre and Miquelon,666,No income group available,Y
Burundi,108,Sub-Saharan Africa,Y
Comoros,174,Sub-Saharan Africa,Y
Djibouti,262,Sub-Saharan Africa,Y
Eritrea,232,Sub-Saharan Africa,Y
Ethiopia,231,Sub-Saharan Africa,Y
Kenya,404,Sub-Saharan Africa,Y
Madagascar,450,Sub-Saharan Africa,Y
Malawi,454,Sub-Saharan Africa,Y
Mauritius,480,Sub-Saharan Africa,Y
Mayotte,175,Sub-Saharan Africa,Y
Mozambique,508,Sub-Saharan Africa,Y
Réunion,638,Sub-Saharan Africa,Y
Rwanda,646,Sub-Saharan Africa,Y
Seychelles,690,Sub-Saharan Africa,Y
Somalia,706,Sub-Saharan Africa,Y
South Sudan,728,Sub-Saharan Africa,Y
Uganda,800,Sub-Saharan Africa,Y
United Republic of Tanzania,834,Sub-Saharan Africa,Y
Zambia,894,Sub-Saharan Africa,Y
Zimbabwe,716,Sub-Saharan Africa,Y
Angola,24,Sub-Saharan Africa,Y
Cameroon,120,Sub-Saharan Africa,Y
Central African Republic,140,Sub-Saharan Africa,Y
Chad,148,Sub-Saharan Africa,Y
Congo,178,Sub-Saharan Africa,Y
The Democratic Republic of the Congo,180,Sub-Saharan Africa,Y
Equatorial Guinea,226,Sub-Saharan Africa,Y
Gabon,266,Sub-Saharan Africa,Y
Sao Tome and Principe,678,Sub-Saharan Africa,Y
Botswana,72,Sub-Saharan Africa,Y
Eswatini,748,Sub-Saharan Africa,Y
Lesotho,426,Sub-Saharan Africa,Y
Namibia,516,Sub-Saharan Africa,Y
South Africa,710,Sub-Saharan Africa,Y
Benin,204,Sub-Saharan Africa,Y
Burkina Faso,854,Sub-Saharan Africa,Y
Cabo Verde,132,Sub-Saharan Africa,Y
Côte d'Ivoire,384,Sub-Saharan Africa,Y
Gambia,270,Sub-Saharan Africa,Y
Ghana,288,Sub-Saharan Africa,Y
Guinea,324,Sub-Saharan Africa,Y
Guinea-Bissau,624,Sub-Saharan Africa,Y
Liberia,430,Sub-Saharan Africa,Y
Mali,466,Sub-Saharan Africa,Y
Mauritania,478,Sub-Saharan Africa,Y
Niger,562,Sub-Saharan Africa,Y
Nigeria,566,Sub-Saharan Africa,Y
Saint Helena,654,Sub-Saharan Africa,Y
Senegal,686,Sub-Saharan Africa,Y
Sierra Leone,694,Sub-Saharan Africa,Y
Togo,768,Sub-Saharan Africa,Y
